"employee_id","course_number","course_name","course_credit_type","power_school_number","school_number","campus","campus_type","work_start_date","work_end_date","leave_start_date","leave_end_date","fmla_days_out","missing_begining_start_date","missing_begining_end_date","missing_begining_days_out","missing_ending_start_date","missing_ending_end_date","missing_ending_days_out","total_days_out"
7248,"x02630030","English Language Arts, Grade 3","ELA",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16667,"x02630030","English Language Arts, Grade 3","ELA",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
115078,"x02630040","English Language Arts, Grade 4","ELA",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
83647,"x02630040","English Language Arts, Grade 4","ELA",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9050,"x02630050","English Language Arts, Grade 5","ELA",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
23579,"x02640005","Mathematics, Kindergarten","MATH",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10182,"x02640005","Mathematics, Kindergarten","MATH",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10755,"x02640005","Mathematics, Kindergarten","MATH",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9912,"x02640010","Mathematics, Grade 1","MATH",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16483,"x02640010","Mathematics, Grade 1","MATH",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
89184,"x02640020","Mathematics, Grade 2","MATH",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
20226,"x02640030","Mathematics, Grade 3","MATH",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2160,"x02640040","Mathematics, Grade 4","MATH",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7845,"x02640050","Mathematics, Grade 5","MATH",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
23579,"x02650000","Science, Kindergarten","SCI",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10182,"x02650000","Science, Kindergarten","SCI",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10755,"x02650000","Science, Kindergarten","SCI",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9912,"x02650100","Science, Grade 1","SCI",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16483,"x02650100","Science, Grade 1","SCI",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10190,"x02650200","Science, Grade 2","SCI",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
74115,"x02650300","Science, Grade 3","SCI",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6068,"x02650400","Science, Grade 4","SCI",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
70198,"x02650500","Science, Grade 5","SCI",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
23579,"x02660009","Social Studies, Kindergarten","SS",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10182,"x02660009","Social Studies, Kindergarten","SS",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10755,"x02660009","Social Studies, Kindergarten","SS",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9912,"x02660010","Social Studies, Grade 1","SS",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16483,"x02660010","Social Studies, Grade 1","SS",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10190,"x02660020","Social Studies, Grade 2","SS",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
74115,"x02660030","Social Studies, Grade 3","SS",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6068,"x02660040","Social Studies, Grade 4","SS",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
14384,"x02660050","Social Studies, Grade 5","SS",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
69995,"x80900LSE","English Language Arts ","ELA",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-28,2023-08-08,2023-10-13,66,NA,NA,NA,NA,NA,NA,66
74088,"x80900LSE","English Language Arts ","ELA",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
69995,"x80900LSH","Humanities ","SS",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-28,2023-08-08,2023-10-13,66,NA,NA,NA,NA,NA,NA,66
74088,"x80900LSH","Humanities ","SS",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
69995,"x80900LSM","Mathematics ","MATH",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-28,2023-08-08,2023-10-13,66,NA,NA,NA,NA,NA,NA,66
74088,"x80900LSM","Mathematics ","MATH",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
69995,"x80900LSS","Science ","SCI",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-28,2023-08-08,2023-10-13,66,NA,NA,NA,NA,NA,NA,66
74088,"x80900LSS","Science ","SCI",108807112,108807112,"Brownsville","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
84271,"x02630001","English Language Arts, Kindergarten","ELA",108807194,108807194,"Spears","Academy",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
84752,"x02640005","Mathematics, Kindergarten","MATH",108807194,108807194,"Spears","Academy",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
95237,"x02650000","Science, Kindergarten","SCI",108807194,108807194,"Spears","Academy",2023-10-30,2024-05-28,NA,NA,NA,2023-09-01,2023-10-29,58,NA,NA,NA,58
22112,"x02620010","Reading, Grade 1","ELA",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,2023-10-02,2024-01-16,106,NA,NA,NA,NA,NA,NA,106
60983,"x02620020","Reading, Grade 2","ELA",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
88445,"x02630010","English Language Arts, Grade 1","ELA",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
92160,"x02630020","English Language Arts, Grade 2","ELA",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
91351,"x02630030","English Language Arts, Grade 3","ELA",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
60820,"x02630040","English Language Arts, Grade 4","ELA",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
86693,"x02630050","English Language Arts, Grade 5","ELA",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,2023-10-24,2024-02-07,106,NA,NA,NA,NA,NA,NA,106
88780,"x02640010","Mathematics, Grade 1","MATH",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12016,"x02640020","Mathematics, Grade 2","MATH",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
70086,"x02640030","Mathematics, Grade 3","MATH",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
91324,"x02640040","Mathematics, Grade 4","MATH",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
90616,"x02640050","Mathematics, Grade 5","MATH",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9672,"x02650100","Science, Grade 1","SCI",108807183,108807183,"Owassa","Academy",2023-07-10,2024-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
69781,"x02650200","Science, Grade 2","SCI",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
88852,"x02650300","Science, Grade 3","SCI",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
86643,"x02650400","Science, Grade 4","SCI",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
86774,"x02650500","Science, Grade 5","SCI",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
92818,"x02660010","Social Studies, Grade 1","SS",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
69781,"x02660020","Social Studies, Grade 2","SS",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
88852,"x02660030","Social Studies, Grade 3","SS",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
86643,"x02660040","Social Studies, Grade 4","SS",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
91103,"x02660050","Social Studies, Grade 5","SS",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
62721,"x80900LSE","English Language Arts ","ELA",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
62721,"x80900LSH","Humanities ","SS",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
62721,"x80900LSM","Mathematics ","MATH",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
62721,"x80900LSS","Science ","SCI",108807183,108807183,"Owassa","Academy",2023-07-31,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
62160,"x829107LE","English Language Arts - Grade 7","ELA",108807077,108807037,"Bluff Springs","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
62160,"x829207LM","Mathematics -Grade 7","MATH",108807077,108807037,"Bluff Springs","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
62160,"x829407LH","Humanities - Grade 7","SS",108807077,108807037,"Bluff Springs","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
62160,"x829807LS","Science - Grade 7","SCI",108807077,108807037,"Bluff Springs","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
95113,"xADV0264006","Advanced Mathematics, Grade 6","MATH",108807077,108807037,"Bluff Springs","College Prep",2023-10-23,2024-05-28,NA,NA,NA,2023-09-01,2023-10-22,51,NA,NA,NA,51
94912,"xADV0266006","Advanced Social Studies, Grade 6-World H","SS",108807077,108807037,"Bluff Springs","College Prep",2023-09-25,2024-05-28,NA,NA,NA,2023-09-01,2023-09-24,23,NA,NA,NA,23
95184,"xADV0280000","Advanced English Language Arts, Grade 6","ELA",108807077,108807037,"Bluff Springs","College Prep",2023-10-23,2024-05-28,NA,NA,NA,2023-09-01,2023-10-22,51,NA,NA,NA,51
94361,"xADV0306060","Advanced Science, Grade 6-Earth Science","SCI",108807077,108807037,"Bluff Springs","College Prep",2023-08-14,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
94361,"xADV0306070","Advanced Science, Grade 7-Life Science","SCI",108807077,108807037,"Bluff Springs","College Prep",2023-08-14,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
92560,"xPAP0301028","Pre-AP Biology (8th Grade)","SCI",108807077,108807037,"Bluff Springs","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
90930,"xADV0310300","Advanced Mathematics, Grade 7 Pre-Algebr","MATH",108807077,108807037,"Bluff Springs","College Prep",2023-07-31,2024-05-28,2024-02-10,2024-05-28,108,NA,NA,NA,NA,NA,NA,108
95400,"xADV0310310","Advanced Mathematics, Grade 8-Algebra I","MATH",108807077,108807037,"Bluff Springs","College Prep",2023-11-27,2024-05-28,NA,NA,NA,2023-09-01,2023-11-26,86,NA,NA,NA,86
91273,"xADV0320054","Advanced English Language Arts, Grade 7","ELA",108807077,108807037,"Bluff Springs","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
20578,"xADV0320055","Advanced English Language Arts, Grade 8","ELA",108807077,108807037,"Bluff Springs","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
94428,"xADV0334300","Advanced Social Studies, Grade 7-Texas H","SS",108807077,108807037,"Bluff Springs","College Prep",2023-08-14,2024-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
94010,"xADV0334310","Advanced Social Studies, Gr 8-U.S. Histo","SS",108807077,108807037,"Bluff Springs","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
61910,"x820006RI","Reading Intervention-6th","ELA",108807060,108807020,"Carver","College Prep",2023-08-01,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
92331,"x821006MI","Math Intervention-6th","MATH",108807060,108807020,"Carver","College Prep",2023-08-01,2024-02-29,NA,NA,NA,NA,NA,NA,2024-03-01,2024-05-27,87,87
61910,"x829107RI","Reading Intervention-7th","ELA",108807060,108807020,"Carver","College Prep",2023-08-01,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
92331,"x829207MI","Math Intervention-7th","MATH",108807060,108807020,"Carver","College Prep",2023-08-01,2024-02-29,NA,NA,NA,NA,NA,NA,2024-03-01,2024-05-27,87,87
94564,"X13011300","Touch System Data Entry 8TH","MATH",108807060,108807020,"Carver","College Prep",2023-08-21,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
70098,"xADV0264006","Advanced Mathematics, Grade 6","MATH",108807060,108807020,"Carver","College Prep",2023-08-01,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
94577,"xADV0266006","Advanced Social Studies, Grade 6-World H","SS",108807060,108807020,"Carver","College Prep",2023-08-21,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
92089,"xADV0280000","Advanced English Language Arts, Grade 6","ELA",108807060,108807020,"Carver","College Prep",2023-08-01,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
94180,"xADV0306060","Advanced Science, Grade 6-Earth Science","SCI",108807060,108807020,"Carver","College Prep",2023-08-01,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
94180,"xADV0306070","Advanced Science, Grade 7-Life Science","SCI",108807060,108807020,"Carver","College Prep",2023-08-01,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
91652,"xADV0310300","Advanced Mathematics, Grade 7 Pre-Algebr","MATH",108807060,108807020,"Carver","College Prep",2023-08-01,2024-05-30,2024-02-05,2024-04-02,57,NA,NA,NA,NA,NA,NA,57
