School Year,Category,Department,Internal Role,Req ID,Opening Type,Status,Job Title,Req Openings,Req Remaining Openings,Location,Region,Job Type,JOB_MOST_RECENT_OPEN_DATE,JOB_FILLED_ON,Position Control Number
2023-2024,Operations,Operations Leadership,APO (Shared),2022-6075,Mid-Year Vacancy,Filled,Assistant Principal of Operations - IDEA Quest (Immediate Opening),1,0,IDEA Quest,"Mid Rio Grande Valley, TX",Full-Time,7/14/2023,7/21/2023,89877
2023-2024,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2022-6078,Annual Vacancy,Filled,Exceptional Student Education RISE Teacher - IDEA River Bluff Academy (Immediate Opening),1,0,IDEA River Bluff Academy,"Jacksonville, FL",Full-Time,7/14/2023,7/20/2023,2539
2023-2024,Instructional,Teaching - Special Education,Teacher (Academy): SpEd,2022-6079,Mid-Year Vacancy,Filled,Exceptional Student Education Teacher - IDEA River Bluff Academy (Immediate Opening),1,0,IDEA River Bluff Academy,"Jacksonville, FL",Full-Time,7/14/2023,7/28/2023,2801
2023-2024,Instructional,Teaching - Math,Teacher: 6-8 Math,2022-6080,Mid-Year Vacancy,Filled,6th Grade Math Teacher - IDEA Elsa College Prep (Immediate Opening),1,0,IDEA Elsa College Prep,"Mid Rio Grande Valley, TX",Full-Time,7/14/2023,7/24/2023,91892
2023-2024,Instructional,Teaching - English Language Arts,Teacher: 1-5 ELA,2022-6081,Mid-Year Vacancy,Filled,3rd Grade ELA Teacher - IDEA River Bluff Academy (Immediate Opening),1,0,IDEA River Bluff Academy,"Jacksonville, FL",Full-Time,10/20/2023,1/8/2024,2728
2023-2024,Instructional,Teaching - Other,Teacher (Academy): Interventionist,2022-6083,Annual Vacancy,Filled,Interventionist Teacher - IDEA Walzem Academy (Immediate Opening),1,0,IDEA Walzem Academy,"San Antonio, TX",Full-Time,7/14/2023,7/21/2023,89074
2023-2024,Instructional,Teaching - Early Childhood Education,Teacher: PK-K,2022-6084,Mid-Year Vacancy,Filled,Kindergarten Teacher - IDEA Walzem Academy (Immediate Opening),1,0,IDEA Walzem Academy,"San Antonio, TX",Full-Time,9/12/2023,10/3/2023,93054
2023-2024,Operations,Transportation,Transportation Assistant Manager (Shared),2022-6085,Mid-Year Vacancy,Filled,Transportation Assistant Manager - IDEA Price Hill (Immediate Opening),1,0,IDEA Price Hill,"Cincinnati, OH",Full-Time,8/31/2023,10/13/2023,3099
2023-2024,Operations,Transportation,Transportation Assistant Manager (Shared),2022-6086,Mid-Year Vacancy,Filled,Transportation Assistant Manager - IDEA Valley View (Immediate Opening),1,0,IDEA Valley View,"Cincinnati, OH",Full-Time,7/18/2023,7/31/2023,3098
2023-2024,Operations,Technology Operations,Campus Computer Technician (Shared),2022-6087,Mid-Year Vacancy,Filled,Campus Computer Technician - IDEA Hope (Immediate Opening),1,0,IDEA Hope,"Tampa Bay, FL",Full-Time,7/17/2023,8/3/2023,1921
2023-2024,Operations,Technology Operations,Campus Computer Technician (Shared),2022-6089,Mid-Year Vacancy,Filled,Campus Computer Technician - IDEA San Benito (Immediate Opening),1,0,IDEA San Benito,"Lower Rio Grande Valley, TX",Full-Time,7/14/2023,8/11/2023,90785
2023-2024,Operations,Technology Operations,Not Applicable,2022-6090,Mid-Year Vacancy,Filled,Intern - Technology Operations - IDEA Rio Grande Valley (Immediate Opening),1,0,Headquarters-Rio Grande Valley,"Headquarters - Rio Grande Valley, TX",Intern,7/17/2023,9/28/2023,91299
2023-2024,Operations,Facilities and Construction,Not Applicable,2022-6091,Mid-Year Vacancy,Filled,Regional Facilities and Construction Manager - IDEA San Antonio (Immediate Opening),1,0,San Antonio Regional Office,"San Antonio, TX",Full-Time,7/17/2023,8/8/2023,93143
2023-2024,Instructional,Teaching - Special Education,Teacher (Academy): SpEd,2022-6092,Mid-Year Vacancy,Filled,Special Education Teacher - IDEA South Flores Academy (Immediate Opening),1,0,IDEA South Flores Academy,"San Antonio, TX",Full-Time,7/14/2023,11/14/2023,89519
2023-2024,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2022-6101,Annual Vacancy,Filled,Special Education Teacher - IDEA Edgecliff College Prep (Immediate Opening),1,0,IDEA Edgecliff College Prep,"Tarrant County, TX",Full-Time,7/17/2023,7/31/2023,95097
2023-2024,Operations,Facilities and Construction,Custodian (Shared),2022-6102,Mid-Year Vacancy,Filled,Custodian - IDEA Achieve (Immediate Opening),1,0,IDEA Achieve,"Tarrant County, TX",Full-Time,7/17/2023,8/7/2023,100070
2023-2024,Instructional,Teaching - English Language Arts,Teacher: 1-5 ELA,2022-6103,Annual Vacancy,Filled,4th grade Writing Teacher - IDEA Achieve Academy (Immediate Opening),1,0,IDEA Achieve Academy,"Tarrant County, TX",Full-Time,7/16/2023,7/24/2023,95361
2023-2024,Instructional,School Lead Team,API (College Prep),2022-6104,Annual Vacancy,Filled,Assistant Principal of Instruction - IDEA Rise College Prep (Immediate Opening),1,0,IDEA Rise College Prep,"Tarrant County, TX",Full-Time,7/17/2023,7/21/2023,99501
2023-2024,Instructional,Teaching - Other,Teacher (College Prep): Interventionist,2022-6106,Mid-Year Vacancy,Filled,Interventionist Teacher - IDEA River Bluff College Prep (Immediate Opening),1,0,IDEA River Bluff College Prep,"Jacksonville, FL",Full-Time,7/17/2023,8/10/2023,2739
