School Year,Category,Department,Internal Role,Req ID,Opening Type,Status,Job Title,Req Openings,Req Remaining Openings,Location,Region,Job Type,JOB_MOST_RECENT_OPEN_DATE,JOB_FILLED_ON,Position Control Number
2023-2024,Instructional,Teaching - English Language Arts,Teacher: 6-8 ELA,2023-8538,Mid-Year Vacancy,Rejected,6th/7th Grade ELA Teacher - IDEA Sports Park College Prep (Immediate Opening),,,IDEA Sports Park College Prep,"Lower Rio Grande Valley, TX",Full-Time,10/25/2023,,102100
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2022-4496,Annual Vacancy,Rejected,Special Education RISE Teacher- IDEA Round Rock Tech Academy (24-25),1,1,IDEA Round Rock Tech Academy,"Greater Austin, TX",Full-Time,2/26/2024,,"95005,102653"
2023-2024,Instructional,Teaching - English Language Arts,Teacher: 1-5 ELA,2022-5901,Annual Vacancy,Rejected,1st grade ELA Teacher - IDEA Walzem Academy (Immediate Opening),1,1,IDEA Walzem Academy,"San Antonio, TX",Full-Time,7/11/2023,,93054
2023-2024,Instructional,Teaching - Special Education,Teacher (Academy): SpEd,2022-5919,Annual Vacancy,Rejected,Special Education Teacher- IDEA Innovation Academy (24-25),1,1,IDEA Innovation Academy,Southern Louisiana,Full-Time,7/26/2023,,1666
2023-2024,Instructional,Teaching - Other,Teacher (College Prep): Interventionist,2022-6197,Annual Vacancy,Rejected,Interventionist Teacher- IDEA Pflugerville College Prep (Immediate Opening),1,1,IDEA Pflugerville College Prep,"Greater Austin, TX",Full-Time,7/18/2023,,
2024-2025,Instructional,CTE Role,CTE Campus Role,2023-10058,Annual Vacancy,Rejected,CTE Legal Studies Teacher - IDEA Parmer Park College Prep (24-25),1,1,IDEA Parmer Park College Prep,"Greater Austin, TX",Full-Time,2/5/2024,,
2024-2025,Instructional,Para-Professional - General Education,Co-Teacher: Academy,2023-10180,Annual Vacancy,Rejected,Kindergarten Co-Teacher - IDEA Rundberg Academy (24-25),1,1,IDEA Rundberg Academy,"Greater Austin, TX",Full-Time,2/14/2024,,94738
2024-2025,Instructional,Teaching - Math,Teacher: 1-5 Math,2023-10181,Annual Vacancy,Rejected,2nd Grade Math/Science Teacher - IDEA Rundberg Academy (24-25),1,1,IDEA Rundberg Academy,"Greater Austin, TX",Full-Time,2/15/2024,,98116
2024-2025,Instructional,Para-Professional - Special Education,Co-Teacher (Academy): SpEd,2023-10198,Annual Vacancy,Rejected,Special Education Co-Teacher- IDEA Kyle Academy (24-25),1,1,IDEA Kyle Academy,"Greater Austin, TX",Full-Time,2/23/2024,,101600
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2023-10898,Mid-Year Vacancy,Rejected,Special Education Teacher - IDEA Hidden Meadow College Prep (Immediate Opening),1,1,IDEA Hidden Meadow College Prep,"San Antonio, TX",Full-Time,4/5/2024,,103321
2024-2025,Instructional,Teaching - Social Studies,Teacher: 1-5 Social Studies/Science,2023-11104,Annual Vacancy,Rejected,4th grade Science/Social Studies Teacher - IDEA Hidden Meadow Academy (24-25),1,1,IDEA Hidden Meadow Academy,"San Antonio, TX",Full-Time,4/15/2024,,100236
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd RISE,2023-7801,Annual Vacancy,Rejected,Special Education RISE Teacher- IDEA Pflugerville College Prep (24-25),1,1,IDEA Pflugerville College Prep,"Greater Austin, TX",Full-Time,9/14/2023,,102636
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2023-7809,Annual Vacancy,Rejected,Special Education RISE Teacher - IDEA Bluff Springs Academy (24-25),1,1,IDEA Bluff Springs Academy,"Greater Austin, TX",Full-Time,9/14/2023,,92730
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd,2023-7852,Annual Vacancy,Rejected,Special Education Teacher - IDEA Round Rock Tech Academy (24-25),1,1,IDEA Round Rock Tech Academy,"Greater Austin, TX",Full-Time,9/14/2023,,101855
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd RISE,2023-7964,Annual Vacancy,Rejected,Special Education RISE Teacher- IDEA Rundberg College Prep (24-25),1,1,IDEA Rundberg College Prep,"Greater Austin, TX",Full-Time,10/11/2023,,100540
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2023-7965,Annual Vacancy,Rejected,Special Education Teacher- IDEA Rundberg College Prep (24-25),1,1,IDEA Rundberg College Prep,"Greater Austin, TX",Full-Time,9/21/2023,,92731
2024-2025,Instructional,Administrative Support,Tutor,2023-8080,Annual Vacancy,Rejected,Tutor - IDEA Riverview College PRep (24-25),1,1,IDEA Riverview College Prep,"Lower Rio Grande Valley, TX",Part-Time,9/26/2023,,89658
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd,2023-9354,Annual Vacancy,Rejected,Special Education Teacher - IDEA Rundberg Academy (24-25),1,1,IDEA Rundberg Academy,"Greater Austin, TX",Full-Time,12/5/2023,,91370
2024-2025,Instructional,Administrative Support,Tutor,2023-9469,Annual Vacancy,Rejected,Tutor - IDEA Riverview College PRep (24-25),1,1,IDEA Riverview College Prep,"Lower Rio Grande Valley, TX",Part-Time,12/11/2023,,89656
2024-2025,Instructional,Para-Professional - General Education,Co-Teacher: Academy,2023-9779,Annual Vacancy,Rejected,1st Grade Co-Teacher - IDEA Parmer Park Academy (24-25),1,1,IDEA Parmer Park Academy,"Greater Austin, TX",Full-Time,1/19/2024,,88312
2024-2025,Instructional,Teaching - Social Studies,Teacher: 1-5 Social Studies/Science,2023-9900,Annual Vacancy,Rejected,3rd Grade Science/Social Studies Teacher - IDEA Pflugerville Academy (24-25),1,1,IDEA Pflugerville Academy,"Greater Austin, TX",Full-Time,1/25/2024,,96921
2024-2025,Instructional,Teaching - English Language Arts,Teacher: 1-5 ELA,2023-9943,Annual Vacancy,Rejected,4th Grade ELA Teacher - IDEA Rundberg Academy (24-25),1,1,IDEA Rundberg Academy,"Greater Austin, TX",Full-Time,1/29/2024,,93078
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2023-9998,Mid-Year Vacancy,Rejected,Special Education Teacher- IDEA Kyle College Prep (24-25),1,1,IDEA Kyle College Prep,"Greater Austin, TX",Full-Time,1/30/2024,,90632
2023-2024,Operations,Child Nutrition Program,Food Service Specialist Substitute (Shared),2023-9840,Mid-Year Vacancy,Rejected,Food Service Specialist Substitute - IDEA Brackenridge (Immediate Opening),2,2,IDEA Brackenridge,"San Antonio, TX",Part-Time,1/19/2024,,91401
2023-2024,Headquarters,Finance,Not Applicable,2023-10355,Mid-Year Vacancy,Open,Business Clerk Administrator - Rio Grande Valley (Immediate Opening),1,0,Headquarters-Rio Grande Valley,"Headquarters - Rio Grande Valley, TX",Full-Time,2/29/2024,,103285
2024-2025,Instructional,Teaching - Science,Teacher: 6-8 Science,2023-12811,Mid-Year Vacancy,Open,6th Grade Science Teacher - IDEA Bassett College Prep (Immediate Opening),1,0,IDEA Bassett College Prep,"Jacksonville, FL",Full-Time,6/20/2024,,3322
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2023-12899,Mid-Year Vacancy,Open,Exceptional Student Education Teacher - IDEA River Bluff College Prep (Immediate Opening),1,0,IDEA River Bluff College Prep,"Jacksonville, FL",Full-Time,6/25/2024,,3171
2024-2025,Instructional,Teaching - Math,Teacher: 9-12 Math,2023-10377,Mid-Year Vacancy,Open,Algebra I Teacher - IDEA Price Hill College Prep (Immediate Opening),1,1,IDEA Price Hill College Prep,"Cincinnati, OH",Full-Time,2/27/2024,,2985
2024-2025,Operations,Transportation,Non-CDL SPED Driver (Shared),2023-10483,Mid-Year Vacancy,Open,Non-CDL SPED Driver - IDEA Robindale (Immediate Opening),1,1,IDEA Robindale,"Lower Rio Grande Valley, TX",Full-Time,3/7/2024,,103267
2024-2025,Operations,Operations Support,Bus Monitor (Shared),2023-10583,Mid-Year Vacancy,Open,Bus Monitor- IDEA Horizon Vista (Immediate Opening),1,1,IDEA Horizon Vista,"El Paso, TX",Part-Time,3/19/2024,,92076
2024-2025,Operations,Operations Support,School Monitor (Shared),2023-10707,Mid-Year Vacancy,Open,Lunch Monitor - IDEA Rise (Immediate Opening),1,1,IDEA Rise,"Tarrant County, TX",Part-Time,3/25/2024,,102610
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd,2023-10714,Mid-Year Vacancy,Open,Special Education Teacher - IDEA Parmer Park Academy (Immediate Opening),1,1,IDEA Parmer Park Academy,"Greater Austin, TX",Full-Time,3/27/2024,,96303
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2023-10837,Mid-Year Vacancy,Open,Special Education RISE Teacher- IDEA Health Professions Academy (Immediate Opening),1,1,IDEA Health Professions Academy,"Greater Austin, TX",Full-Time,4/1/2024,,102646
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd RISE,2023-11048,Mid-Year Vacancy,Open,Special Education RISE Teacher - IDEA Eastside College Prep (Immediate Opening),1,1,IDEA Eastside College Prep,"San Antonio, TX",Full-Time,4/10/2024,,89481
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2023-11050,Mid-Year Vacancy,Open,Special Education Teacher - IDEA Mays College Prep (Immediate Opening),1,1,IDEA Mays College Prep,"San Antonio, TX",Full-Time,4/10/2024,,102006
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd,2023-11057,Mid-Year Vacancy,Open,Special Education Teacher - IDEA Mays Academy (Immediate Opening),1,1,IDEA Mays Academy,"San Antonio, TX",Full-Time,4/10/2024,,89517
2024-2025,Operations,Enrollment,Not Applicable,2023-11064,Mid-Year Vacancy,Open,Regional Enrollment Manager - IDEA Florida (Immediate Opening),1,1,Tampa Bay Regional Office,"Tampa Bay, FL",Full-Time,4/11/2024,,2768
2023-2024,Operations,Child Nutrition Program,Food Service Specialist Substitute (Shared),2023-11165,Mid-Year Vacancy,Open,Food Service Specialist Substitute - IDEA Tres Lagos (Immediate Opening),1,1,IDEA Tres Lagos,"Upper Rio Grande Valley, TX",Part-Time,6/24/2024,,101471
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2023-11204,Mid-Year Vacancy,Open,Special Education RISE Teacher- IDEA Hardy Academy (Immediate Opening),1,1,IDEA Hardy Academy,"Greater Houston, TX",Full-Time,4/17/2024,,102536
2024-2025,Operations,Transportation,Non-CDL SPED Driver (Shared),2023-11240,Mid-Year Vacancy,Open,SPED Non-CDL Driver - IDEA Round Rock College Prep (Immediate Opening),1,1,IDEA Round Rock Tech,"Greater Austin, TX",Full-Time,4/19/2024,,100621
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd RISE,2023-11296,Mid-Year Vacancy,Open,Special Education RISE Teacher - IDEA Walzem College Prep (Immediate Opening),1,1,IDEA Walzem College Prep,"San Antonio, TX",Full-Time,4/22/2024,,91213
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): Cooperating SpEd,2023-11300,Mid-Year Vacancy,Open,Cooperating Special Education Teacher - IDEA Monterrey Park Academy (Immediate Opening),1,1,IDEA Monterrey Park Academy,"San Antonio, TX",Full-Time,6/17/2024,,100680
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2023-11309,Mid-Year Vacancy,Open,Special Education RISE Teacher - IDEA Eastside Academy (Immediate Opening),1,1,IDEA Eastside Academy,"San Antonio, TX",Full-Time,4/22/2024,,89515
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): Cooperating SpEd RISE,2023-11313,Mid-Year Vacancy,Open,Cooperating Special Education RISE Teacher - IDEA South Flores College Prep (Immediate Opening),1,1,IDEA South Flores College Prep,"San Antonio, TX",Full-Time,5/8/2024,,93470
2024-2025,Headquarters,Special Programs,Not Applicable,2023-11455,Annual Vacancy,Open,Visual Impairment Specialist - Rio Grande Valley (24-25),1,1,Headquarters-Rio Grande Valley,"Headquarters - Rio Grande Valley, TX",Full-Time,4/30/2024,,99765
2024-2025,Headquarters,Finance,Not Applicable,2023-11598,Annual Vacancy,Open,Vice President of Accounting (24-25),1,1,Headquarters-Rio Grande Valley,"Headquarters - Rio Grande Valley, TX",Full-Time,5/6/2024,,97909
2024-2025,Operations,Information Systems,SIS Coordinator (Shared),2023-11613,Mid-Year Vacancy,Open,SIS Coordinator - IDEA Health Professions (Immediate Opening),1,1,IDEA Health Professions,"Greater Austin, TX",Full-Time,5/6/2024,,93475
2024-2025,Instructional,School Lead Team,Social Worker (Shared),2023-11686,Mid-Year Vacancy,Open,Social Worker - IDEA Victory (Immediate Opening),1,1,IDEA Victory,"Tampa Bay, FL",Full-Time,5/8/2024,,2363
2024-2025,Operations,Facilities and Construction,Custodian (Shared),2023-11695,Mid-Year Vacancy,Open,Custodian - IDEA Hope (Immediate Opening),1,1,IDEA Hope,"Tampa Bay, FL",Full-Time,5/8/2024,,3235
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2023-11769,Mid-Year Vacancy,Open,Special Education RISE Teacher - IDEA Robinson Academy (Immediate Opening),1,1,IDEA Robinson Academy,"San Antonio, TX",Full-Time,5/10/2024,,96482
2024-2025,Operations,Transportation,Regional Transportation Manager,2023-11793,Mid-Year Vacancy,Open,Regional Transportation Manager - Tampa Bay Regional Office (Immediate Opening),1,1,Tampa Bay Regional Office,"Tampa Bay, FL",Full-Time,5/14/2024,,2653
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2023-11798,Mid-Year Vacancy,Open,Special Education RISE Teacher - IDEA Donna Academy (Immediate Opening),1,1,IDEA Donna Academy,"Mid Rio Grande Valley, TX",Full-Time,5/14/2024,,89495
2024-2025,Headquarters,Information Systems,Not Applicable,2023-11897,Annual Vacancy,Open,Data Architect (24-25),1,1,Headquarters-Rio Grande Valley,"Headquarters - Rio Grande Valley, TX",Full-Time,5/23/2024,,103365
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd RISE,2023-11914,Mid-Year Vacancy,Open,Special Education RISE Teacher - IDEA Edgemere College Prep (Immediate Opening),1,1,IDEA Edgemere College Prep,"El Paso, TX",Full-Time,5/17/2024,,97823
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2023-11921,Mid-Year Vacancy,Open,Special Education RISE Teacher - IDEA Rio Vista Academy (Immediate Opening),1,1,IDEA Rio Vista Academy,"El Paso, TX",Full-Time,5/17/2024,,100497
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2023-11932,Mid-Year Vacancy,Open,Special Education RISE Teacher - IDEA Horizon Vista Academy (Immediate Opening),1,1,IDEA Horizon Vista Academy,"El Paso, TX",Full-Time,5/17/2024,,94767
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd RISE,2023-11933,Mid-Year Vacancy,Open,Special Education RISE Teacher - IDEA Mesa Hills College Prep (Immediate Opening),1,1,IDEA Mesa Hills College Prep,"El Paso, TX",Full-Time,5/17/2024,,89073
2024-2025,Operations,Child Nutrition Program,Cafeteria Assistant Manager (Shared),2023-11936,Mid-Year Vacancy,Open,Cafeteria Assistant Manager - IDEA Victory (Immediate Opening),1,1,IDEA Victory,"Tampa Bay, FL",Full-Time,5/17/2024,,2934
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2023-12008,Mid-Year Vacancy,Open,Special Education RISE Teacher - IDEA Rio Vista Academy (Immediate Opening),1,1,IDEA Rio Vista Academy,"El Paso, TX",Full-Time,5/24/2024,,91611
2024-2025,Operations,Operations Support,Bus Monitor (Shared),2023-12123,Mid-Year Vacancy,Open,Bus Monitor- IDEA Bluff Springs (Immediate Opening),1,1,IDEA Bluff Springs,"Greater Austin, TX",Part-Time,5/23/2024,,103205
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2023-12160,Mid-Year Vacancy,Open,Special Education Teacher - IDEA Ewing Halsell College Prep (Immediate Opening),1,1,IDEA Ewing Halsell College Prep,"San Antonio, TX",Full-Time,6/4/2024,,93656
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2023-12165,Mid-Year Vacancy,Open,Special Education Teacher - IDEA Ingram Hills College Prep (Immediate Opening),1,1,IDEA Ingram Hills College Prep,"San Antonio, TX",Full-Time,6/4/2024,,94611
2024-2025,Operations,Operations Support,After School Athletics Coach (College Prep),2023-12177,Mid-Year Vacancy,Open,After School Athletics Coach - IDEA North Mission College Prep (Immediate Opening),1,1,IDEA North Mission College Prep,"Upper Rio Grande Valley, TX",Part-Time,5/28/2024,,88708
2024-2025,Operations,Facilities and Construction,Custodian (Shared),2023-12284,Mid-Year Vacancy,Open,Custodian - IDEA Frontier (Immediate Opening),1,1,IDEA Frontier,"Lower Rio Grande Valley, TX",Full-Time,5/31/2024,,100032
2024-2025,Instructional,Teaching - Science,Teacher: 9-12 Science,2023-12288,Mid-Year Vacancy,Open,Chemistry Pre-AP Teacher - IDEA Ingram Hills College Prep (Immediate Opening),1,1,IDEA Ingram Hills College Prep,"San Antonio, TX",Full-Time,5/31/2024,,103083
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd RISE,2023-12335,Mid-Year Vacancy,Open,Special Education RISE Teacher - IDEA Mays College Prep (Immediate Opening),1,1,IDEA Mays College Prep,"San Antonio, TX",Full-Time,6/3/2024,,97114
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2023-12336,Mid-Year Vacancy,Open,Special Education Teacher - IDEA Mays College Prep (Immediate Opening),1,1,IDEA Mays College Prep,"San Antonio, TX",Full-Time,6/3/2024,,92780
2024-2025,Headquarters,Special Programs,Board Certified Behavior Analyst,2023-12341,Annual Vacancy,Open,Board Certified Behavior Analyst - San Antonio (24-25),1,1,San Antonio Regional Office,"San Antonio, TX",Full-Time,6/12/2024,,99544
2024-2025,Operations,Receptionist,Receptionist (Shared),2023-12490,Mid-Year Vacancy,Open,Launching Receptionist - IDEA Compass (Immediate Opening),1,1,IDEA Compass,"Jacksonville, FL",Full-Time,6/13/2024,,3147
2024-2025,Operations,Information Systems,SIS Coordinator (Shared),2023-12491,Mid-Year Vacancy,Open,Launching SIS Coordinator - IDEA Compass (Immediate Opening),1,1,IDEA Compass,"Jacksonville, FL",Full-Time,6/13/2024,,3140
2024-2025,Operations,Enrollment,Student Enrollment Coordinator (Shared),2023-12492,Mid-Year Vacancy,Open,Student Enrollment Coordinator - IDEA Compass (Immediate Opening),1,1,IDEA Compass,"Jacksonville, FL",Full-Time,6/10/2024,,3145
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd,2023-12565,Mid-Year Vacancy,Open,Special Education Teacher - IDEA Hardy Academy (Immediate Opening),1,1,IDEA Hardy Academy,"Greater Houston, TX",Full-Time,6/11/2024,,95070
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2023-12568,Mid-Year Vacancy,Open,Special Education RISE Teacher- IDEA Innovation Academy (Immediate Opening),1,1,IDEA Innovation Academy,Southern Louisiana,Full-Time,6/10/2024,,1933
2024-2025,Instructional,Administrative Support,Administrative Assistant (College Prep),2023-12610,Mid-Year Vacancy,Open,Administrative Assistant - IDEA Hope College Prep (Immediate Opening),1,1,IDEA Hope College Prep,"Tampa Bay, FL",Full-Time,6/11/2024,,2889
2024-2025,Instructional,School Lead Team,School Counselor (College Prep),2023-12617,Mid-Year Vacancy,Open,School Counselor - IDEA Edgemere College Prep (Immediate Opening),1,1,IDEA Edgemere College Prep,"El Paso, TX",Full-Time,6/13/2024,,98704
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd RISE,2023-12621,Mid-Year Vacancy,Open,Special Education RISE Teacher - IDEA Achieve College Prep (Immediate Opening),1,1,IDEA Achieve College Prep,"Tarrant County, TX",Full-Time,6/12/2024,,93706
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2023-12642,Mid-Year Vacancy,Open,Special Education RISE Teacher - IDEA Eastside Academy (Immediate Opening),1,1,IDEA Eastside Academy,"San Antonio, TX",Full-Time,6/13/2024,,90220
2024-2025,Instructional,Teaching - Math,Teacher: 1-5 Math,2023-12706,Mid-Year Vacancy,Open,4th grade Math Teacher - IDEA Najim Academy (Immediate Opening),1,1,IDEA Harvey E. Najim Academy,"San Antonio, TX",Full-Time,6/17/2024,,101172
2024-2025,Headquarters,Finance,Not Applicable,2023-12708,Annual Vacancy,Open,Director of Procurement (24-25),1,1,Headquarters-Rio Grande Valley,"Headquarters - Rio Grande Valley, TX",Full-Time,6/27/2024,,96631
2024-2025,Instructional,Para-Professional - Special Education,Co-Teacher (College Prep): RISE,2023-12709,Mid-Year Vacancy,Open,Special Education RISE Co-Teacher- IDEA Innovation College Prep (Immediate Opening),1,1,IDEA Innovation College Prep,Southern Louisiana,Full-Time,6/14/2024,,1816
2024-2025,Instructional,Para-Professional - Special Education,Co-Teacher (College Prep): RISE,2023-12738,Mid-Year Vacancy,Open,Special Education RISE Co-Teacher - IDEA Donna College Prep (Immediate Opening),1,1,IDEA Donna College Prep,"Mid Rio Grande Valley, TX",Full-Time,6/26/2024,,89586
2024-2025,Operations,Child Nutrition Program,Food Service Specialist Substitute (Shared),2023-12775,Mid-Year Vacancy,Open,Food Service Specialist Substitute - IDEA Pflugerville (Immediate Opening),1,1,IDEA Pflugerville,"Greater Austin, TX",Part-Time,6/18/2024,,102794
2024-2025,Operations,Child Nutrition Program,Food Service Specialist Substitute (Shared),2023-12782,Mid-Year Vacancy,Open,Food Service Specialist Substitute- IDEA Montopolis (Immediate Opening),1,1,IDEA Montopolis,"Greater Austin, TX",Part-Time,6/18/2024,,101027
2024-2025,Instructional,Teaching - Social Studies,Teacher: 6-8 Social Studies,2023-12810,Mid-Year Vacancy,Open,8th Grade Social Studies Teacher - IDEA Bassett College Prep (Immediate Opening),1,1,IDEA Bassett College Prep,"Jacksonville, FL",Full-Time,6/24/2024,,3321
2024-2025,Operations,Operations Support,School Monitor (Shared),2023-12873,Mid-Year Vacancy,Open,School Monitor- IDEA Bluff Springs (Immediate Opening),1,1,IDEA Bluff Springs,"Greater Austin, TX",Part-Time,6/24/2024,,101167
2024-2025,Instructional,Teaching - Other,Teacher: AVID or Other,2023-12877,Mid-Year Vacancy,Open,8th Grade Teacher - IDEA River Bluff College Prep (Immediate Opening),1,1,IDEA River Bluff College Prep,"Jacksonville, FL",Full-Time,6/24/2024,,2966
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2023-12907,Mid-Year Vacancy,Open,Special Education Teacher - IDEA Hidden Meadow College Prep (Immediate Opening),1,1,IDEA Hidden Meadow College Prep,"San Antonio, TX",Full-Time,6/26/2024,,101399
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2023-12908,Mid-Year Vacancy,Open,Special Education Teacher - IDEA Converse College prep (Immediate Opening),1,1,IDEA Converse College Prep,"San Antonio, TX",Full-Time,6/26/2024,,94784
2024-2025,Instructional,Teaching - Special Education,Teacher (Academy): SpEd,2023-12945,Mid-Year Vacancy,Open,Special Education Teacher - IDEA Rise Academy (Immediate Opening),1,1,IDEA Rise Academy,"Tarrant County, TX",Full-Time,6/26/2024,,100526
2024-2025,Operations,Operations Support,School Monitor (Shared),2023-8208,Mid-Year Vacancy,Open,School Monitor - IDEA Southeast (Immediate Opening),1,1,IDEA Southeast,"Tarrant County, TX",Part-Time,10/5/2023,,96576
2024-2025,Operations,Transportation,District Mechanic,2023-9883,Mid-Year Vacancy,Open,District Mechanic - IDEA Tampa Bay (Immediate Opening),1,1,Tampa Bay Regional Office,"Tampa Bay, FL",Full-Time,1/23/2024,,2337
2024-2025,Operations,Child Nutrition Program,Cafeteria Assistant Manager (Shared),2023-9929,Mid-Year Vacancy,Open,Cafeteria Assistant Manager - IDEA Price Hill (Immediate Opening),1,1,IDEA Price Hill,"Cincinnati, OH",Full-Time,1/26/2024,,2054
2024-2025,Operations,Transportation,District Mechanic,2022-3718,Mid-Year Vacancy,Open,District Mechanic - Upper Rio Grande Valley (Immediate Opening),2,1,Headquarters-Rio Grande Valley,"Headquarters - Rio Grande Valley, TX",Full-Time,10/10/2023,,"102260,102261"
2024-2025,Instructional,Teaching - English Language Arts,Teacher: 1-5 ELA,2023-10310,Mid-Year Vacancy,Open,5th Grade ELA Teacher -  IDEA Victory Academy (Immediate Opening),2,1,IDEA Victory Academy,"Tampa Bay, FL",Full-Time,3/1/2024,,"3391,3392"
2024-2025,Instructional,Teaching - Social Studies,Teacher: 1-5 Social Studies/Science,2023-10856,Mid-Year Vacancy,Open,2nd Grade Math/Science/Social Studies Teacher - IDEA Victory Academy (Immediate Opening),2,1,IDEA Victory Academy,"Tampa Bay, FL",Full-Time,4/2/2024,,"3385,3386"
2024-2025,Instructional,Teaching - Special Education,Teacher (College Prep): SpEd,2023-12605,Mid-Year Vacancy,Open,Exceptional Student Education Teacher - IDEA Victory College Prep (Immediate Opening),2,1,IDEA Victory College Prep,"Tampa Bay, FL",Full-Time,6/13/2024,,"2417,2870"
2024-2025,Operations,Operations Support,School Monitor (Shared),2023-9701,Mid-Year Vacancy,Open,School Monitor - IDEA Mesa Hills College Prep (Immediate Opening),2,1,IDEA Mesa Hills College Prep,"El Paso, TX",Part-Time,5/24/2024,,"101329,101330"
2024-2025,Operations,Child Nutrition Program,Food Service Specialist (Shared),2023-11452,Mid-Year Vacancy,Open,Food Service Specialist - IDEA Hope (Immediate Opening),3,1,IDEA Hope,"Tampa Bay, FL",Full-Time,5/8/2024,,"3233,3095,3232"
2024-2025,Operations,Child Nutrition Program,Food Service Specialist (Shared),2023-12082,Mid-Year Vacancy,Open,Food Service Specialist - IDEA Valley View (Immediate Opening),3,1,IDEA Valley View,"Cincinnati, OH",Full-Time,5/23/2024,,"2692,2764,3031"
2024-2025,Operations,Child Nutrition Program,Food Service Specialist Substitute (Shared),2023-12182,Mid-Year Vacancy,Open,Food Service Specialist Substitute - IDEA Horizon Vista (Immediate Opening),3,1,IDEA Horizon Vista,"El Paso, TX",Part-Time,5/28/2024,,"102643,95072,96311"
2024-2025,Operations,Child Nutrition Program,Food Service Specialist (Shared),2023-11454,Mid-Year Vacancy,Open,Food Service Specialist - IDEA Victory (Immediate Opening),4,1,IDEA Victory,"Tampa Bay, FL",Full-Time,5/8/2024,,"3305,3306,3304,3303"
2024-2025,Operations,Child Nutrition Program,Food Service Specialist (Shared),2023-11457,Mid-Year Vacancy,Open,Food Service Specialist - IDEA Bassett (Immediate Opening),4,1,IDEA Bassett,"Jacksonville, FL",Full-Time,5/8/2024,,"3326,3327,3328,3329"
2024-2025,Operations,Child Nutrition Program,Food Service Specialist (Shared),2023-11460,Mid-Year Vacancy,Open,Food Service Specialist - IDEA River Bluff (Immediate Opening),4,1,IDEA River Bluff,"Jacksonville, FL",Full-Time,4/25/2024,,"3358,3359,3360,3361"
2024-2025,Instructional,Teaching - Other,Teacher: Flex,2023-12611,Mid-Year Vacancy,Open,Flex Teacher- IDEA Southern Louisiana (Immediate Opening),4,1,Southern Louisiana Regional Office,Southern Louisiana,Full-Time,6/12/2024,,"3465,3466,34673468"
2024-2025,Operations,Operations Support,After School Enrichment Specialist (Shared),2023-12795,Mid-Year Vacancy,Open,After School Enrichment Specialist - IDEA Toros (Immediate Opening),4,1,IDEA Toros College Prep,"Mid Rio Grande Valley, TX",Part-Time,6/20/2024,,"103543,97641,97785,97931"
2024-2025,Operations,Transportation,Bus Driver (Shared),2023-11567,Mid-Year Vacancy,Open,Bus Driver - IDEA Bassett (Immediate Opening),2,2,IDEA Bassett,"Jacksonville, FL",Full-Time,5/2/2024,,"2105,2956"
